dataset_id,disease,soma_joinid,citation,collection_id,collection_name,collection_doi,dataset_version_id,dataset_title,dataset_h5ad_path,dataset_total_cell_count
bdacc907-7c26-419f-8808-969eab3ca2e8,normal;Alzheimer disease,2,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/0e02290f-b992-450b-8a19-554f73cd7f09.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,0e02290f-b992-450b-8a19-554f73cd7f09,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG microglia,bdacc907-7c26-419f-8808-969eab3ca2e8.h5ad,3799
a5d95a42-0137-496f-8a60-101e17f263c8,normal;common variable immunodeficiency,3,Publication: https://doi.org/10.1038/s41467-022-29450-x Dataset Version: https://datasets.cellxgene.cziscience.com/40832710-d7b1-43fb-b2c2-1cd2255bc3ac.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/bf325905-5e8e-42e3-933d-9a9053e9af80,bf325905-5e8e-42e3-933d-9a9053e9af80,Single-cell Atlas of common variable immunodeficiency shows germinal center-associated epigenetic dysregulation in B-cell responses,10.1038/s41467-022-29450-x,40832710-d7b1-43fb-b2c2-1cd2255bc3ac,Steady-state B cells - scRNA-seq,a5d95a42-0137-496f-8a60-101e17f263c8.h5ad,1324
9f1049ac-f8b7-45ad-8e31-6e96c3e5058f,normal;Alzheimer disease,6,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/1f0cd8ed-94c6-440c-bd5b-bad55e2666b1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,1f0cd8ed-94c6-440c-bd5b-bad55e2666b1,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC microglia,9f1049ac-f8b7-45ad-8e31-6e96c3e5058f.h5ad,5572
06b91002-4d3d-4d2e-8484-20c3b31e232c,normal;Alzheimer disease,12,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/dee5e801-20cf-4d23-9125-cdbe711440cd.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,dee5e801-20cf-4d23-9125-cdbe711440cd,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC astrocytes,06b91002-4d3d-4d2e-8484-20c3b31e232c.h5ad,5500
b94e3bdf-a385-49cc-b312-7a63cc28b77a,normal;Alzheimer disease,14,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/b422fa7d-e5a0-452d-9a65-393694367313.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,b422fa7d-e5a0-452d-9a65-393694367313,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG astrocytes,b94e3bdf-a385-49cc-b312-7a63cc28b77a.h5ad,5970
df287f8d-f50d-4620-ab96-489d559e6adc,normal;benign prostatic hyperplasia,15,Publication: https://doi.org/10.1002/pros.24020 Dataset Version: https://datasets.cellxgene.cziscience.com/0ebba928-bdf1-40a7-ae6c-d60b855c81b1.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,fbc5881f-1ee3-4ffe-8095-35e15e1a08fc,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate,10.1002/pros.24020,0ebba928-bdf1-40a7-ae6c-d60b855c81b1,Urethral luminal epithelia are castration-insensitive cells of the proximal prostate - Human Fibromuscular Stromal Cells,df287f8d-f50d-4620-ab96-489d559e6adc.h5ad,1295
f9ad5649-f372-43e1-a3a8-423383e5a8a2,normal;Alzheimer disease,17,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/780eb415-add8-4dd1-892b-50c5351b2b75.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,780eb415-add8-4dd1-892b-50c5351b2b75,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC oligodendrocyte,f9ad5649-f372-43e1-a3a8-423383e5a8a2.h5ad,8168
94423ec1-21f8-40e8-b5c9-c3ea82350ca4,gastritis;normal;Barrett esophagus;gastric intestinal metaplasia,22,Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/7c4220a8-ce41-49fa-96b2-1c7c552d17f5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,a18474f4-ff1e-4864-af69-270b956cee5b,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,10.1158/2159-8290.cd-22-0824,7c4220a8-ce41-49fa-96b2-1c7c552d17f5,UMAP of Myeloid cells,94423ec1-21f8-40e8-b5c9-c3ea82350ca4.h5ad,3282
75a881cf-5d88-46e2-bf9b-97e5cbc1bd56,normal;Alzheimer disease,26,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/b4f927af-8b89-4e4a-8864-a28b21eeae2a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,b4f927af-8b89-4e4a-8864-a28b21eeae2a,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: EC inhibitory neurons,75a881cf-5d88-46e2-bf9b-97e5cbc1bd56.h5ad,5331
e763ed0d-0e5a-4b8e-9514-6da3d9e47956,COVID-19;normal,32,Publication: https://doi.org/10.1016/j.isci.2021.103115 Dataset Version: https://datasets.cellxgene.cziscience.com/fb995261-472e-4ebc-99b0-d1136e1fad8a.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/b9fc3d70-5a72-4479-a046-c2cc1ab19efc,b9fc3d70-5a72-4479-a046-c2cc1ab19efc,A Web Portal and Workbench for Biological Dissection of Single Cell COVID-19 Host Responses,10.1016/j.isci.2021.103115,fb995261-472e-4ebc-99b0-d1136e1fad8a,Platelet sub_clusters of COVID-19 Immune Altas: Integration of 5 public COVID-19 PBMC single-cell datasets,e763ed0d-0e5a-4b8e-9514-6da3d9e47956.h5ad,7274
b3a5a10f-b1cb-4e8e-abce-bf345448625b,acute myeloid leukemia;acute promyelocytic leukemia,34,Publication: https://doi.org/10.1038/s41590-021-01059-0 Dataset Version: https://datasets.cellxgene.cziscience.com/756a4875-80a7-4e59-8e90-ddffb975c771.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/93eebe82-d8c3-41bc-a906-63b5b5f24a9d,93eebe82-d8c3-41bc-a906-63b5b5f24a9d,Single-cell proteo-genomic reference maps of the hematopoietic system enable the purification and massive profiling of precisely defined cell states,10.1038/s41590-021-01059-0,756a4875-80a7-4e59-8e90-ddffb975c771,15 leukemic bone marrow donors,b3a5a10f-b1cb-4e8e-abce-bf345448625b.h5ad,31586
faed4f71-6b50-4fc7-bd1c-8f385dccfdce,normal;gastritis;Barrett esophagus;gastric intestinal metaplasia,46,Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/1cd4f84b-7fe4-463e-9f69-79a37ecf881e.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,a18474f4-ff1e-4864-af69-270b956cee5b,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,10.1158/2159-8290.cd-22-0824,1cd4f84b-7fe4-463e-9f69-79a37ecf881e,UMAP of Endothelial cells,faed4f71-6b50-4fc7-bd1c-8f385dccfdce.h5ad,3951
3e87b1fa-472a-401c-8fa8-f31c10437d5f,dementia;normal,53,Publication: https://doi.org/10.1101/2023.05.08.539485 Dataset Version: https://datasets.cellxgene.cziscience.com/7844c7d5-4ba9-4bcd-99de-1bb79c0f5d99.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/1ca90a2d-2943-483d-b678-b809bf464c30,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,10.1101/2023.05.08.539485,7844c7d5-4ba9-4bcd-99de-1bb79c0f5d99,Endothelial - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),3e87b1fa-472a-401c-8fa8-f31c10437d5f.h5ad,1973
1492eb6b-7d50-4c4d-94ac-c801a7d5555c,normal;Alzheimer disease,57,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/cf1b6b6c-f44e-433f-9604-40cc00eeb0a8.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,cf1b6b6c-f44e-433f-9604-40cc00eeb0a8,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG inhibitory neurons,1492eb6b-7d50-4c4d-94ac-c801a7d5555c.h5ad,7506
bdf69f8d-5a96-4d6f-a9f5-9ee0e33597b7,dilated cardiomyopathy;normal;arrhythmogenic right ventricular cardiomyopathy;non-compaction cardiomyopathy,58,Publication: https://doi.org/10.1126/science.abo1984 Dataset Version: https://datasets.cellxgene.cziscience.com/ae8c3c55-0c81-4787-ae49-9ab7d5e0074d.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,e75342a8-0f3b-4ec5-8ee1-245a23e0f7cb,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,10.1126/science.abo1984,ae8c3c55-0c81-4787-ae49-9ab7d5e0074d,DCM/ACM heart cell atlas: Adipocytes,bdf69f8d-5a96-4d6f-a9f5-9ee0e33597b7.h5ad,2576
9b188f26-c8e1-4a78-af15-622a35a371fc,Barrett esophagus;normal;gastric intestinal metaplasia;gastritis,60,Publication: https://doi.org/10.1158/2159-8290.cd-22-0824 Dataset Version: https://datasets.cellxgene.cziscience.com/1c158adf-90ea-47b7-9dac-f4fcb9e3efc5.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/a18474f4-ff1e-4864-af69-270b956cee5b,a18474f4-ff1e-4864-af69-270b956cee5b,Single-cell RNA sequencing unifies developmental programs of Esophageal and Gastric Intestinal Metaplasia,10.1158/2159-8290.cd-22-0824,1c158adf-90ea-47b7-9dac-f4fcb9e3efc5,UMAP of Fibroblasts cells,9b188f26-c8e1-4a78-af15-622a35a371fc.h5ad,5754
24066994-8183-488d-b037-ef6bb524af39,normal;Alzheimer disease,62,Publication: https://doi.org/10.1038/s41593-020-00764-7 Dataset Version: https://datasets.cellxgene.cziscience.com/63005255-f56a-4533-b021-2bf6509c2f04.h5ad curated and distributed by CZ CELLxGENE Discover in Collection: https://cellxgene.cziscience.com/collections/180bff9c-c8a5-4539-b13b-ddbc00d643e6,180bff9c-c8a5-4539-b13b-ddbc00d643e6,Molecular characterization of selectively vulnerable neurons in Alzheimer's Disease,10.1038/s41593-020-00764-7,63005255-f56a-4533-b021-2bf6509c2f04,Molecular characterization of selectively vulnerable neurons in Alzheimer’s Disease: SFG oligodendrocyte,24066994-8183-488d-b037-ef6bb524af39.h5ad,15772
